__time,/output_std/data[0],/output_std/data[1],/output_std/layout/data_offset,/time/data
1706898893.018659,,,,2.600000000
1706898893.028519,0.094378582,0.104482282,0.000000000,
1706898893.028551,,,,2.610000000
1706898893.038869,0.092986569,0.105426067,0.000000000,
1706898893.038937,,,,2.620000000
1706898893.048510,0.091514096,0.106355933,0.000000000,
1706898893.048547,,,,2.630000000
1706898893.058535,0.089963362,0.107271074,0.000000000,
1706898893.058566,,,,2.640000000
1706898893.068690,0.088336621,0.108170708,0.000000000,
1706898893.068727,,,,2.650000000
1706898893.078691,0.086636184,0.109054074,0.000000000,
1706898893.078751,,,,2.660000000
1706898893.088928,0.084864415,0.109920436,0.000000000,
1706898893.088992,,,,2.670000000
1706898893.098728,0.083023727,0.110769080,0.000000000,
1706898893.098783,,,,2.680000000
1706898893.108686,0.081116582,0.111599317,0.000000000,
1706898893.108727,,,,2.690000000
1706898893.118597,0.079145484,0.112410483,0.000000000,
1706898893.118663,,,,2.700000000
1706898893.128704,0.077112981,0.113201938,0.000000000,
1706898893.128742,,,,2.710000000
1706898893.138866,,,,2.720000000
1706898893.139648,0.075021657,0.113973068,0.000000000,
1706898893.148736,0.072874134,0.114723284,0.000000000,
1706898893.148803,,,,2.730000000
1706898893.158780,0.070673064,0.115452026,0.000000000,
1706898893.158853,,,,2.740000000
1706898893.168650,0.068421131,0.116158756,0.000000000,
1706898893.168697,,,,2.750000000
1706898893.178911,0.066121044,0.116842967,0.000000000,
1706898893.178963,,,,2.760000000
1706898893.189076,0.063775537,0.117504178,0.000000000,
1706898893.189140,,,,2.770000000
1706898893.198885,0.061387364,0.118141933,0.000000000,
1706898893.198950,,,,2.780000000
1706898893.208903,0.058959297,0.118755807,0.000000000,
1706898893.208967,,,,2.790000000
1706898893.218693,0.056494123,0.119345400,0.000000000,
1706898893.218734,,,,2.800000000
1706898893.228891,0.053994642,0.119910341,0.000000000,
1706898893.228931,,,,2.810000000
1706898893.238874,0.051463661,0.120450288,0.000000000,
1706898893.238924,,,,2.820000000
1706898893.248870,0.048903996,0.120964924,0.000000000,
1706898893.248924,,,,2.830000000
1706898893.258794,0.046318464,0.121453964,0.000000000,
1706898893.258846,,,,2.840000000
1706898893.269145,0.043709883,0.121917149,0.000000000,
1706898893.269204,,,,2.850000000
1706898893.278889,0.041081069,0.122354248,0.000000000,
1706898893.278938,,,,2.860000000
1706898893.288832,0.038434833,0.122765058,0.000000000,
1706898893.288869,,,,2.870000000
1706898893.298997,0.035773979,0.123149407,0.000000000,
1706898893.299073,,,,2.880000000
1706898893.308991,0.033101299,0.123507146,0.000000000,
1706898893.309045,,,,2.890000000
1706898893.319131,0.030419571,0.123838159,0.000000000,
1706898893.319200,,,,2.900000000
1706898893.328816,0.027731560,0.124142355,0.000000000,
1706898893.328869,,,,2.910000000
1706898893.338797,0.025040008,0.124419671,0.000000000,
1706898893.338830,,,,2.920000000
1706898893.349102,0.022347641,0.124670071,0.000000000,
1706898893.349176,,,,2.930000000
1706898893.358860,0.019657158,0.124893547,0.000000000,
1706898893.358911,,,,2.940000000
1706898893.369062,0.016971232,0.125090119,0.000000000,
1706898893.369111,,,,2.950000000
1706898893.378815,0.014292507,0.125259831,0.000000000,
1706898893.378853,,,,2.960000000
1706898893.388930,0.011623599,0.125402756,0.000000000,
1706898893.388975,,,,2.970000000
1706898893.398795,0.008967088,0.125518992,0.000000000,
1706898893.398853,,,,2.980000000
1706898893.409055,0.006325517,0.125608663,0.000000000,
1706898893.409128,,,,2.990000000
1706898893.418919,0.003701396,0.125671918,0.000000000,
1706898893.418989,,,,3.000000000
1706898893.428902,,,,3.010000000
1706898893.428981,0.001097190,0.125708932,0.000000000,
1706898893.438770,-0.001484675,0.125719904,0.000000000,
1706898893.438802,,,,3.020000000
1706898893.449095,-0.004041819,0.125705057,0.000000000,
1706898893.449164,,,,3.030000000
1706898893.458915,-0.006571906,0.125664639,0.000000000,
1706898893.458967,,,,3.040000000
1706898893.469266,-0.009072651,0.125598920,0.000000000,
1706898893.469350,,,,3.050000000
1706898893.478736,-0.011541816,0.125508194,0.000000000,
1706898893.478783,,,,3.060000000
1706898893.488852,-0.013977218,0.125392775,0.000000000,
1706898893.488905,,,,3.070000000
1706898893.498847,-0.016376723,0.125253003,0.000000000,
1706898893.498901,,,,3.080000000
1706898893.509310,-0.018738256,0.125089236,0.000000000,
1706898893.509420,,,,3.090000000
1706898893.518860,-0.021059797,0.124901853,0.000000000,
1706898893.518920,,,,3.100000000
1706898893.529146,-0.023339385,0.124691255,0.000000000,
1706898893.529219,,,,3.110000000
1706898893.538684,-0.025575116,0.124457862,0.000000000,
1706898893.538732,,,,3.120000000
